,dots_exten,geometry,lon,lat,Alpha-2 code,Country,Alpha-3 code,Numeric
26331,169.449,POINT (-34.88541666666492 -7.087083333484259),-34.88541666666492,-7.087083333484259,BR,Brazil,BRA,76.0
26332,1.80398,POINT (-79.72458333332975 -7.080416666817541),-79.72458333332975,-7.080416666817541,PE,Peru,PER,604.0
26333,2.98765,POINT (-34.87041666666494 -6.971250000148302),-34.87041666666494,-6.971250000148302,BR,Brazil,BRA,76.0
26334,4.38731,POINT (-79.89291666666304 -6.911250000146936),-79.89291666666304,-6.911250000146936,PE,Peru,PER,604.0
26335,0.183944,POINT (-34.89249999999828 -6.8779166702827865),-34.89249999999828,-6.8779166702827865,BR,Brazil,BRA,76.0
26336,2.69706,POINT (-34.90041666666485 -6.864583333479004),-34.90041666666485,-6.864583333479004,BR,Brazil,BRA,76.0
26337,73.7771,POINT (-34.954583333331584 -6.782083333477146),-34.954583333331584,-6.782083333477146,BR,Brazil,BRA,76.0
26338,0.148999,POINT (-80.03041666666309 -6.710416666808726),-80.03041666666309,-6.710416666808726,PE,Peru,PER,604.0
26339,4.20551,POINT (-34.937916666664876 -6.687083333474902),-34.937916666664876,-6.687083333474902,BR,Brazil,BRA,76.0
26340,2.29249,POINT (-34.95291666666492 -6.673750000141183),-34.95291666666492,-6.673750000141183,BR,Brazil,BRA,76.0
26341,1.25721,POINT (-80.09374999999619 -6.663750000141022),-80.09374999999619,-6.663750000141022,PE,Peru,PER,604.0
26342,9.0212,POINT (-34.965416666664964 -6.596250000139435),-34.965416666664964,-6.596250000139435,BR,Brazil,BRA,76.0
26343,1.97925,POINT (-34.969583333331514 -6.485416666803474),-34.969583333331514,-6.485416666803474,BR,Brazil,BRA,76.0
26344,0.767322,POINT (-80.60208333332946 -6.384583333467674),-80.60208333332946,-6.384583333467674,PE,Peru,PER,604.0
26345,40.3057,POINT (-35.06291666666493 -6.340416666799911),-35.06291666666493,-6.340416666799911,BR,Brazil,BRA,76.0
26346,0.688842,POINT (-80.77124999999614 -6.306250000132536),-80.77124999999614,-6.306250000132536,PE,Peru,PER,604.0
26347,4.34111,POINT (-35.034583333331625 -6.282083333465266),-35.034583333331625,-6.282083333465266,BR,Brazil,BRA,76.0
26348,23.7869,POINT (-35.14291666894144 -6.200416666296633),-35.14291666894144,-6.200416666296633,BR,Brazil,BRA,76.0
26349,26.6668,POINT (-35.11541666666483 -6.164166667173731),-35.11541666666483,-6.164166667173731,BR,Brazil,BRA,76.0
26350,0.756038,POINT (-35.100416666664955 -6.103750000127775),-35.100416666664955,-6.103750000127775,BR,Brazil,BRA,76.0
26351,101.138,POINT (-35.14708333333158 -5.96208333345777),-35.14708333333158,-5.96208333345777,BR,Brazil,BRA,76.0
